path;avg;block;radial;phash;marr;color
/home/breno/codes/cv/hash-similarity/data/original/4019a738-9ffd-4343-b4c7-249bf52e4968.jpg;marr -> da12768496db67c1b6da127484925927f3d81c1e07078649244e4fda693484964125b7c0da49348c96db27b3361381c0e072f92492c5d365bc1c964924b76c9b6da4c496d93c9207;phash -> 981942c82d0782a802;avg -> fbffffff60;color -> bef38c426ebb713feda1e1f585ae733edfeef23e1872393e36241bddef9a383ec8bf4f94792f833cf0428ab9f9347b3d5c38d814341947bca0877da8b783543f7b24158db495603e112ed1a78be0e43d628127a7086ae43d02d7a3e8f81ed83b0330ba2a43131dbd0464997fb529c5bb4ab9786959fd543f8725ca7d49cc8c3e076f18d81a4bbb3de75c3404138aba3d80932494f366fa3a22c513e2a81501bd8ed229df2a5286bb1a5d2d040193563fc72eb13d4db8923efb843b81dea0bf3db20f5ea11c62c33dc0988f0aac992ebbc6472a9ba94d0ebdc381233c733595bb5a215462ea8f543fa7a791a6ed75f93de555effb6d9f353d459773802cd42d3dc06ece39389e683a9566de785b3e30bcdcc32ab577b0663ace73da457379563f558eef8b24daf73d5a8543c0c387563de3f8e4d7040f543da1be21788c77ba3a0a76ab7e7e48583c050f17b08706893a;block -> eff7eff7eff7eff7eff7eff7eff7eff780f7;radial -> c06f
/home/breno/codes/cv/hash-similarity/data/original/08758a79-ad42-4f49-8a45-65c6044a7515.jpg;marr -> 8decb6c5a1f740da4864f8037279016e48d964fe3910325ed3605f9a7d393a56f683920bc48fc961fd1f21b65bd0319b3f0643d0b7a02d82de80ffa52706f82d92c3fe0d032781d8;phash -> 2df1db9d4e66bc8f;avg -> fafccce8e4f2f37e02;color -> 1c2ebe354392713fbed288eda2bab63e99f8661529c2193e3b047c538e91413e6be44b3baa537abc1e974c1506eaa43dde1acb610ff4733cbe373a7fb6a76a3f8f06968447b0a23e18585312ea1b333e387628f2b189213ec01978bfd9414ebcc0b6709926cd71bddb0d14e7480258bc505b396ab68d503f71fc0127a874253e25fb713ec5bb7f3d04836bb0baa57f3dac72fa596beaf5ba401812fa73f392bccb8d8ec2f85c0dbb79c4486f8ee9513fdec2fc663ff9213ebaff3e1b762b7c3d377d53af3af1973d6987e4;block -> fcfff0ffe0ffe0ffe0ff60f0;radial -> 68b2ff
/home/breno/codes/cv/hash-similarity/data/original/3a261259-e581-481d-b938-db062ecfa0c7.jpg;marr -> 93793c1f8a5f6187c8d349bc1f;phash -> a64569b91eb379cc;avg -> fde7ef8fc3db5a4e;color -> 26baad6db5b1783f361115310acea03e6905c2610a8a323eca60183dcc2e143e0b023790e6d5443c0c6603a552263c3d72b7838bd765393ca8751b6fbb74633f3c277a827a12893ef313410e427a073e5e8c32a0569ba03de7fb7f9ce527813bf52bd6f0983decbc0fb9cdcd466c763b0c292f706abf533fb197f1a3f85f313edb5c4771c558b83d7813f6767c6d783d;block -> e1ff7ffe3ffc3ffc3ffc1ff89ff08fe00fe007e0e673e673e733fc33dc13d811;radial -> 85d8f8
/home/breno/codes/cv/hash-similarity/data/original/529a7ac1-5052-487d-b6a8-4b32a19beaaf.jpg;marr -> 0f8dc6fe0e062dec1bf0762713626a666a96f812f49e4f2522cbb23e727e05fda327609fd80fc6dc06c721b2d8138dc1e271f86cb1a7fc4d8b7f0e0703c0c81fe976981ec1245e5e;phash -> dd9a6eafc39e7c6b;avg -> ;color -> da5bf559b48f7b3f9762a03f3a0f8d3e1ea775885fdd453ea4cbb32469254b3e912dd7767e09a4bc52eee7a05cca963d899647e9784284bc4d0cb1604726563fde06325f83fa3d3e3838936684cbbb3dbd4b0e4714eda23d91b6e43f6def613bff0c56f65f4bc73cf4d4cac5b53b4bbbccdd95b1f8c8583f8c50b49ccb91513ee76f6ee6a111ed3d923b0f6fd24bd83de4a2704ac0cd933b2afb9babce2f043d862f782e8f6dccbbb6d888b745ce5d3f1fa22f49d572603e84826896396cf73da0bef7f0d70de13da0333324fb62ae3b1e30c67685ca133d42ff5005fae2ddbbf279549e829c533fda74380982cbdc3dfee566b5845c6c3d8f689a2646ec6e3df5808828762ae4ba0eccdd690f8f643c9ede4a5d334ee4ba8ab23f798ae7583f16075f6a040fe63dbdf99b981ce1933d80f8bc984b5c843da2c6dcc68e1f14bbd6bc872273197ebc8183dd723a191e3b;block -> ;radial -> 5eb4ff644444
/home/breno/codes/cv/hash-similarity/data/original/0a454b34-a202-48c0-ad2b-9ba47f306814.jpg;marr -> da69361a52f96cb609d2693685b2692cb25b93498965f6f96c96e4db02dbad2f236f93c0933209292b2b6c93279b499b3f2ed87cb65b9b4daccd93216cb64b9b6da6d646cb24964b;phash -> 364d0952140e8001;avg -> ffffe7c75b;color -> 141e5ae576355c3f090bdbbc94e4e43db0f535fdde16513d7392a8353038453da24933d0af08a03a92f15324c2af2c3c17;block -> fffffffffffffffffffffff80ff007e803d101;radial -> b9ff
/home/breno/codes/cv/hash-similarity/data/original/57a1027b-9500-4bbe-9918-9eecef12ee08.jpg;marr -> d217e53212df24b4872de974809d0687484bdb6d9a6b224b6d79b4c8b30c8c8165a45b491b8de6e0fcb367684bfa783f1c094f22167fd278381f45225c6e09da42e6c4b25cd80e5b;phash -> 32347ec8be351203;avg -> 050e0c8b8a0b1a07;color -> ;block -> 87;radial -> 6d551bff58
/home/breno/codes/cv/hash-similarity/data/original/4602a1ba-6e17-4df1-b1b7-e07520bb5d12.jpg;marr -> 9b6da4d36d26d3c1b49b4da4d36936d3d1e0db6db69b41b89a925bf87c3c0c86d8dc6e07f016cf3f82dccc4e3b1fa7d7e3f2d897a5d20783c1e0f64c9925b60783c1e1f25b256d24;phash -> 9b99eec69c695ee6;avg -> f0e0f8780307070f;color -> ;block -> ;radial -> c2ec
/home/breno/codes/cv/hash-similarity/data/original/9a2621bb-6bfe-4b05-aeba-7c9c8eecc64f.jpg;marr -> 138987e49d801c1e5fe241c8e070387cdb27db36ff0d8ec741b3f4db366121f1f9b1b1e6db36db2d96cd9925a0db36c99c9e436c97b4e0f0381c4e4765b5e49201c93f813b6f91b4;phash -> 6c09919624660104;avg -> ffffebc3e3818188;color -> 0b165623d439743f2079b2fa1f86bc3e4a6f0d181ce40d3efe6a4ff9f2e8113e4d2644c2aac1263c18f9c8883b94713df32fcaf250b32c3cace9e1858d966c3ffe5a740b3570a93e464fc9b00418393ef480dda01b97d33d98a948e10f7be63b83e68ad19c7c2ebd25a5c56d8f6fde3b40531e2c228b4f3ff717405ccd241d3e94b7c449b1b0833dda170d7d7e02a03d1964ca2b98632c3bf1f098f9df78b5bc70d9c5ef534940bbe6562a095f88503f4cda8bd04e61293e46e7a1de9d748c3dd674efb06ac1a23dd24f122e4e7a213b59969ab01522c0bc0ab1a427c9b94abb9213979eb2b8543f9ed4db9bfeba923de4b08a0d5ea6223df47a4302ec4e303d442985fd38505f3a603fc10bdf84ff3b5c9cf54e02ab633aeefdfc94e36d563f7258d35312f0983dff1a3db1043f1e3de0397fa5d4bb453d789dd49830c487ba30c160014af318bcce3c11172dce69ba;block -> ffffffffffffefffcffe2ffc07bc07f807f807f007c003c0038001;radial -> 4c54ff187a85
/home/breno/codes/cv/hash-similarity/data/original/6a1bf6c9-7f7f-4fc2-8918-76b12d890582.jpg;marr -> 24965b6c96d92492d92496cb6c96d924925b24b2d96c9058dc92db24925924b65eda24db240ebf1c025edb20c924b64b65becfe3c0c924b6cb64b6d92492db24b65b2d96d92492d9;phash -> 047171841851148c;avg -> ffffffffc3c3;color -> 6a8508d889bd6a3f605f070942cc353eda5a48a24f66ce3d5e0d101dee41b53dffc8405f592682bb6dcc6982def1d6bcf4e2f7f3370b7fbbc2b7bdd3bf535c3fd2c7edc32544383e59e7ef39526a0b3eb80f5e2942e9023e7e07d253d68f1a3c4da3e0f41f7626bd082f6c4e1452f13bd445330badd84b3f2e12fad7e740043ea62115e1adfb863d448ef9dd1e4a923de08cfb0f4d83303b7846e17fea149dbc894c0d921d5df63afe05f4fe1abe4d3f5c985f8817f3173e2195f652b4a3873d81143f960cefa53d80c1bbf02d214f3b389649463dd3babca26d8b6e3d81123b82d22ba97f15543f4ae653be9ef4cd3d288e729ba359233debca8d531a3e783d8433391d4b34d7bad6b56a759274673cb07eacd81dca61ba89c3407c6a2c563fb1a3ec6160aeb23dca7fbd46b187b73c3119aa514bbd533df97f9d9a97b468ba1ca21f21ec4835bc366861b4e5a7533a;block -> fffffffffffffffffffffffefffe7ffc1ff80ff00ff0;radial -> dcad
/home/breno/codes/cv/hash-similarity/data/original/787a88da-50f7-4c6e-84f9-956666cee966.jpg;marr -> fc793e01f0f8fd92926dc9c7ff0e0724dbb66ddb36d27b6166dbb66dc976c2f0397edbb664ed3e9e4e43669ab624c906f270392cdb2424c9b49e0e07249b2426edbc127039249724;phash -> c75c3ce9e1f3657c;avg -> c0;color -> a01a996e7be1793f10154c9acc3f033ead;block -> ;radial -> b6bb237e
/home/breno/codes/cv/hash-similarity/data/original/1a1dfb8f-bb74-4651-b67e-8f0e3bf967df.jpg;marr -> f236e49496d6d9b2d9f036e484be809d92d9e4b625a49760dec8d924b6893e81fa6c1e2525ed892336c367b3345b6c093e065b61b0c9da12e48596cf6598c99212e4e495b126165b;phash -> 649b334cb02f1ee0;avg -> fffffffd4480e618;color -> f6e1b49277a6643f1f791e77fde5613ec6afe217a668cb3da8cf524cefb9fe3df00fbd5e948fdf3bdc077c92b4a02a3dc808b40b080ef2bb944f1ce8b63f603f701a5125ea0e8e3eb4452f91fe66c63ded249dc0ab1eff3dd491d5d26c27d3bbe441384227a84dbd39a876a68d83f1bb0fcb6a1cde584b3f60dc4eabc980e23d0279848422bb653d38df1695577f8e3dabdc1105bafc143b19a3364e939683bc1bc8f2359e6a09bb923d01bf694a4d3f7af2bdd57279e73d7717c756f372733da37c59f496c19e3d42857f2f08ed343b88c93cd62cb295bcfbb2b732226b25bb2e241eeed371543f91eb36ca5e55fa3dbc16a4ab38c0723d8435a5620ae7693dc278c528ae78c0ba24c6603a0b8a273c2a773dd6d5e3e83a4ae49cead1e5563fef10992fb006e73d265947de846d643d26c6c5dd2978833dbc4dff6b6a59fb3a13d2b1d49d7f793c742468;block -> ffffffffffffffffffff9fffbffc837f1030;radial -> 851e517dc47734
/home/breno/codes/cv/hash-similarity/data/original/587a6f06-d00f-4de6-9daa-6efa5f61c29b.jpg;marr -> 9eb62f1f4e4f6e479ae072337992ded3c15cf8783c9c8f878096f8fc7c3f0d8fa724b64d2781c3e799306cb639d03647e4fc389db21b65b63a30163e1c0ec81e0e1f1f8fc7e37037;phash -> 9919adb9bc6dd9dc;avg -> 32582830381c3188;color -> ba174d3379ea693f72fe2da264a46f3e89be5243e9f2d93d928ad119a3debc3dc9a879a80ac577bb219c2456412ef63c5e322ae09af7973b4e7f43b440b7613fed91df97c5b9463e98f52dcc37c1df3d6dd38fd98b8ce73d4e088e571fcfdabb26a74081f32ef2bc15d2940d181ac3bbeb7a963ceff5743f433f764b05f0b83e1989ce58032b283e3d713fc2a81aaa3df6a411a21911a2bb;block -> 8c3f8c3f880d88078807a0038803;radial -> c3e3
/home/breno/codes/cv/hash-similarity/data/original/8a2f1f31-53af-42bf-967e-6cd9e037b5b0.jpg;marr -> 24b6390d96db67e0da64f8340d8f07a269c86de93b16cec783b1d0d3c9b4f25fa327d9b6db02c3e49d217e910a9313e4c0b93721b24b9b064364ddb16f60d90f87d2e4f17b59926d;phash -> 62638e0cc2c30d2c;avg -> deaa6d1c1820;color -> f41d3a142835663f1a7e7c19eb6e7f3e034f49c564131f3ee7f87201775efe3dc09afb07f460f4bb39ae1a49ed5a44bd78a5ca2ebbb41cbc86fb50ec99706e3f4587cedb1e33903ef4b890f28c0a1f3ed52e;block -> ff0fff3fff3fff3fff1ffe1ff81ff007e007c01f;radial -> 8bff
/home/breno/codes/cv/hash-similarity/data/original/20a35faa-5733-4c15-9b3b-3d9ae4e96905.jpg;marr -> da4d3496864b6c93b69b4d8b63f6db6593b4db4dad9c06db2593249b49a4f3c6cb2593259b6d893246db6493699b6d361244d92c96499b69a8e496d925b6dbb6ed07249249b5b6db;phash -> 6a6f8490125b6de4;avg -> 1fffff7f;color -> 34b93fea53d7593f4412c73bc9038e3d6a0daad22738333d8ae6440e8081093da0986ad7608517ba6439b22aea32ac3b257e7e502641383a12ff0d805cc0573f958f084bcbaf403e2bec35a59c01d43d0f2fbad94a46d63d35baef67f82ebb3b3d6a76b02097fbbce0f7974f7456a63bc4b3e889a826563f06b0b80d24de823eb14dda164f25d83d9efe1cb72a2ed03d62ec6ac1c1f7a43b79d1e853d0f910bd4eb7fb0ebf04b13b3f026f9025855a3f8cbda2a81f34923e48610c68ffa8e53db248de8ced6fdb3dbcda0ad93016b03ba86ec081def220bd4c90b14ddb71cc3bc847d2593102573fd94e4f43becec83df0c6ac028fbf603d466cfd8e8378583d63f3956e3bdbc53a4d52be01b910443c517b2b82507984ba672288f18397533fdbdb91402040d03d05b2253fc8035a3da3c94b0c4132533d2ae5d1c26cb4ba3afa2c4ea0632041bcb47686ebb917833a;block -> ff;radial -> 42cbff715769
/home/breno/codes/cv/hash-similarity/data/original/4724a7ff-59eb-4042-95ee-5f97a9d450c7.jpg;marr -> 24b64961f3636fa11b2492d92c8f076590d92492437b425b24be2f2592c26d927964d8d92492c2fc0ec526d0d96492db1396db6096c825925b626248efd0270f92c363727e905e1f;phash -> 8003154149011202;avg -> ffff2614;color -> b25887af43d4633f4961c679e662b13e436457894b0bef3dfd13a8162ed1d53d4cb5f805e254c33b8d4a62ae57a7353dc5c26e2d16ffbfbbbabb89be2b19613f1226c2ae33f8943e6e0a47039ef6e63dbcaa9f4090e7c53d80ada270923ba6bb4ae44dfb86b4163d7e375f96472da5bb9ddef445ea2b553f24ba92bdecc7683e2e1505b8eab4ee3da146684f21e8d83d86f4b6db4c67ce3b9c1f6d989951;block -> ffffffffffffff7fff01fc03b41b303e;radial -> e6ec
/home/breno/codes/cv/hash-similarity/data/original/3aab1cd6-be7f-4be4-939e-d55f01998998.jpg;marr -> 6cc2e5a070787d93246481d9249db6d9b7a4fa70293d0e62e1e1a4d236732dff23266c4993325b3649b9374edb9b101b64933964763cdb899934be40ed881b934dc9ac90592751c0;phash -> b06d0118f7220735;avg -> feffbda10c109085;color -> 6cd55aad5ed97a3f8ee5aae8d499ce3eef419ad8692b523e70479e5db2db233e573ebf28c2af693c888fc6671c784bbd1db47e158541653ce1e76a76a64e683fcbe54a26b9ca983ed1fd6393064f323e333ce5a2a74ce33d6881dc98612bc43bb29f1eb19adb14bdcf36231567f7ff3bbe5567ff6375533f80e7e4d98970033e835fe3309cb6d43deb14e658deeed73d876fd2f3fb58bb3b9b3ebeabeac5e03c5c2c49fa0102b3bb30b44f7e639b543fbc4d8301fa6b023e41c541a80808db3dcf3f0f56d164e03d04799f01d44fc63bec8aa9fff4dce63c6cba3fcbd3ccc4bb3a7d26a86d58543f3d7d0b254762e03d23ad78d175604f3d550ff0a0c67f363da6e98fbb633d71bab42a26af40832b3c1524c6a829f988ba80eabe130aa2563f6eb1b9066c49f13d8d737d3f4c5f5d3d48328f9ac33f383dd2027fd1ec17933a4e827be1ec6e13bccd457ddc4caa7aba;block -> fffffeffffffffffffff63fc438301;radial -> ad83
/home/breno/codes/cv/hash-similarity/data/original/3527ab07-a6dd-427d-8c5f-01da09d5de64.jpg;marr -> 64e91a53cfc76727f824c936c3f2d9b5927624c912537e45b5b2c0b249125d9f859193c89b4936cdbdb4919249db4936cb407d25b25bfc49b69f4fc32492d903cdb81d8bc364b64b;phash -> 9114f3fdf6ecb6fc;avg -> 88ffc0c060ff7f9d;color -> 72502b4c05017a3f3608f9538c07ab3e4a110316c4e2593ec63c096763a4333ee1cf1061bfae843cb6ebcd9422d991bd18b742320f6682bcb4ff5e530b;block -> 20e0;radial -> 83ff0d
/home/breno/codes/cv/hash-similarity/data/original/719ab029-c6e9-4b6f-b895-8637655fa0fc.jpg;marr -> d26d24c4b9b365b259da6936cdb2d9d1b25bd26c36cdb25b649cd91372360d96c3280e6df24cc6cc99b26da3db933936c494936f64df9b49b68496db6412c99b4da4c492d8d9b21f;phash -> b973f6a66eedb1da;avg -> 186fffe008;color -> 3caaa4ed72d9633f9084c34ea855493e6fc5db3d5dcd023e38129392e201e93dd4ead56f367fee3bc8752de0b21f133d5468a8101391ddbb9881172d4016543f3e091e8fbd2c273e1851c99cde0bae3d3cef0a013045c23d0d451538f1e6833bae5e2725fd15dfbc13d45e794ce181bb2e65df56b5d7623f1e1034a2e39e883ed218af550568fe3d1b5122a3c095d13d8dd01d48b9a9c7bbff8818b680e207bdb2b64794688ab2bb7658628cb15d663f33bf795df48e953ef18e2c4a44e9053e35b54676dd14e43d17533566ec84e2bb8265d7c5e8f42bbd6e71eb1d79b6e2bb1e;block -> 40;radial -> ab410a
/home/breno/codes/cv/hash-similarity/data/original/2ab6edbe-2530-4602-80fa-d6d3bad6d2d4.jpg;marr -> f86c3f1e07c167f0c09b0db2e270781c921b2fe93c01b1e0ee49f4f06d064d91fb6e69a49240c6c5b1fb6e4f249b9364c5b1bb624927b349b61e0f070291d8038db0f26138d9c8c3;phash -> 1ffa408dff04ba53;avg -> 10;color -> 5ec75d88a32f653f259e7dc9;block -> ;radial -> 423cff5c713a54160c632c4d502425658a371f4c6c41
/home/breno/codes/cv/hash-similarity/data/original/0592abe8-fb4e-490d-9f66-f8d760907c25.jpg;marr -> 64b65b2c96cb65b7f464b25b2d96c7e1b5f064b63b04b0785d2e070381cb61b1f8ff49c0e870db6d9fc7e370390f8fc0e0f0f87c7e5b0f87c7f36da4b4964b2c965f1b4d203cb65b;phash -> ce13314c864c0330;avg -> 3f3f272707e7e8ee;color -> 46f1230c923a773f90729355d2c5ad3ed185bb99b0a3503e6c5f1d93d1d05a3e4a8c69be28f5b4bc9ee3c0d03b22ae3d1927515f5588bcbc291c5c0770e4553f684fa0911ae6913e0671e574fc69c33d30ecd15abc6ed13dc8d87db9fbcea8bbcff6570e49bc0dbd60695d8cfb6c9bbb7e9b50cecc26513f148ae7c07486323e1a9380ed78b63b3da0070ffe1a6a8e3d92af6166ed7e033b07ad3126e7e0ad3c0cd185c3a935b9baad2d16df2b89533fe8d03f7c1a12383e14f50d757f9c3d3d97439b299b229e3dcc90885fa6191c3b63eb6eb2dc46c03c412e117fe427d53ae428f2300941533f290603488a31da3da64224ba9a9ce03ccd41d1ecbefed73cef8ee679e778b5b9a3dfb02d7653b7bb70f2176d673fc2b9f437eab67168573fc565b49aab73d53d966bb583c73f073d8310a2c9a181333d20075991f19c603a292122f2c56626bc1bebc106f83f4fba;block -> ff1fff0fff0fff0fff0f3f063f043f043f;radial -> 83ff64
